         988
      790000      440045  3.0483251E-02  -7.369863    
      790000      450046  4.2319674E-02  -25.18740    
      790000      460047  2.7978087E-02  -21.86473    
      790000      470048  3.6325236E-03  -25.43842    
      790000      480049  3.8526661E-03  -16.89520    
      790000      560057  9.9742427E-02  -17.28358    
      790000      570058  5.0499577E-02  -18.88436    
      790000      580059  1.7108236E-02  -22.48738    
      790000      590060  1.1755919E-02  -42.06319    
      790000      600061  2.1192132E-02  -29.25690    
      790000      500051  2.0714864E-02  -26.83212    
      790000      510052  5.2499138E-02  -23.56477    
      790000      530054  3.9626937E-03  -18.39919    
      790000      540055  2.8267431E-03  -12.97238    
      790000      620063  8.3008230E-02  -16.36292    
      790000      630064  3.2549698E-02  -20.96250    
      790000      640065  1.4897831E-02  -30.19059    
      790000      650066  1.1123200E-02  -45.77077    
      790000      660067  2.5820376E-02  -21.37641    
      800000       20001  6.4445287E-03  -17.22707    
      800000       30002  1.2886322E-02  -20.53368    
      800000       40003  1.2839258E-02  -21.65666    
      800000       50004  4.1398136E-03  -21.94195    
      800000       60005  4.3626782E-03  -22.45113    
      800000       70006  7.5980872E-03  -23.62483    
      800000       80007  8.2869837E-03  -17.39119    
      800000       80009  5.0374022E-04  -69.23692    
      800000       90010  8.1333676E-03  -18.59728    
      800000      100011  4.6177977E-03  -19.83571    
      800000      110012  3.2307082E-03  -15.88847    
      800000      120013  5.3883605E-03  -15.61352    
      800000      130014  3.2649164E-03  -12.20524    
      800000      140015  2.2546069E-03  -12.70746    
      800000      150016  2.0702975E-03  -12.51126    
      800000      160017  1.8059494E-03  -11.63753    
      800000      170018  1.9398965E-03  -9.692142    
      800000      180019  2.2200707E-03  -8.752614    
      800000      190020  1.8977341E-03  -7.232560    
      800000      200021  1.9299363E-03  -7.022984    
      800000      440045  4.3039523E-02  -1.530465    
      800000      450046  5.7549350E-02  -23.92650    
      800000      460047  3.6526870E-02  -21.93448    
      800000      470048  4.9268533E-03  -24.43287    
      800000      480049  4.8141810E-03  -16.14511    
      800000      560057  4.8384111E-02  -10.98383    
      800000      570058  2.6673634E-02  -10.42354    
      800000      590060  1.0960880E-02  -48.89516    
      800000      600061  2.2855122E-02  -27.09049    
      800000      500051  3.0277101E-02  -24.53617    
      800000      510052  6.9215171E-02  -22.09823    
      800000      530054  5.2596838E-03  -17.87932    
      800000      540055  3.1997680E-03  -11.34348    
      800000      620063  4.2872537E-02  -8.613128    
      800000      630064  1.8054264E-02  -12.10522    
      800000      640065  1.1101637E-02  -31.49886    
      800000      650066  1.2205171E-02  -45.56559    
      800000      660067  2.7913632E-02  -19.14468    
      810000       20001  6.9107316E-03  -16.89024    
      810000       30002  1.4454929E-02  -19.96462    
      810000       40003  1.5124303E-02  -20.46469    
      810000       50004  5.2478276E-03  -19.83642    
      810000       60005  6.2827612E-03  -19.03138    
      810000       70006  1.2769830E-02  -19.86320    
      810000       80007  1.8124878E-02  -14.86753    
      810000       90008  4.4673746E-03  -7.799276    
      810000       90010  3.3235755E-03  -34.80465    
      810000      100011  2.5890954E-03  -31.59800    
      810000      110012  2.2049434E-03  -23.48919    
      810000      120013  3.8333982E-03  -22.30455    
      810000      130014  2.4681613E-03  -17.99029    
